coordinate,value
e7,8
e12,6
l10,5
i11,5
a9,5
b7,5
h5,5
e14,4
h8,4
k4,4
h7,4
g13,4
f3,4
g9,4
g7,4
g5,4
a10,3
f7,3
m10,3
d14,3
k5,3
l9,3
i4,3
g10,3
i3,3
e11,3
d11,3
j10,3
c9,3
j7,3
g6,3
h10,3
f14,3
g2,3
j8,3
h9,3
f13,3
f12,3
b11,3
m9,3
l6,3
c10,3
e9,2
h13,2
c5,2
g12,2
i8,2
m7,2
h6,2
i13,2
k8,2
n8,2
g3,2
d3,2
h3,2
j6,2
i7,2
i9,2
j4,2
e13,2
c11,2
j9,2
h4,2
j3,2
k11,2
g11,2
i5,2
g4,2
e4,2
k10,2
d10,2
d7,2
k2,2
h2,2
n9,2
b9,1
f6,1
f10,1
h14,1
e3,1
j1,1
j5,1
b10,1
m4,1
f4,1
f5,1
l4,1
l7,1
d8,1
d4,1
i6,1
l5,1
k7,1
d1,1
g8,1
h11,1
e2,1
b5,1
c6,1
f9,1
j2,1
k12,1
a5,1
d9,1
i12,1
a11,1
i2,1
e10,1
b8,1
f8,1
n5,1
d12,1
k9,1
k6,1
e8,1
m8,1
e6,1
f11,1
d6,1
g14,1
k14,1
j12,1
