round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,checkmate_target,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces
1,red,h4,0,0,0,0,h2-h4,h2,h4,Pawn,0,,43,43,43,43,16,16,16,16
1,blue,d7,0,0,0,0,b7-d7,b7,d7,Pawn,0,,43,43,43,43,16,16,16,16
1,yellow,Ni12,0,0,0,0,Nj14-i12,j14,i12,Knight,0,,43,43,43,43,16,16,16,16
1,green,k8,0,0,0,0,m8-k8,m8,k8,Pawn,0,,43,43,43,43,16,16,16,16
2,red,f4,0,0,0,0,f2-f4,f2,f4,Pawn,0,,43,43,43,43,16,16,16,16
2,blue,Nc9,0,0,0,0,Na10-c9,a10,c9,Knight,0,,43,43,43,43,16,16,16,16
2,yellow,d11,0,0,0,0,d13-d11,d13,d11,Pawn,0,,43,43,43,43,16,16,16,16
2,green,j8,0,0,0,0,k8-j8,k8,j8,Pawn,0,,43,43,43,43,16,16,16,16
3,red,Nf3,0,0,0,0,Ne1-f3,e1,f3,Knight,0,,43,43,43,43,16,16,16,16
3,blue,c11,0,0,0,0,b11-c11,b11,c11,Pawn,0,,43,43,43,43,16,16,16,16
3,yellow,e12,0,0,0,0,e13-e12,e13,e12,Pawn,0,,43,43,43,43,16,16,16,16
3,green,i8,0,0,0,0,j8-i8,j8,i8,Pawn,0,,43,43,43,43,16,16,16,16
4,red,g4,0,0,0,0,g2-g4,g2,g4,Pawn,0,,43,43,43,43,16,16,16,16
4,blue,c8,0,0,0,0,b8-c8,b8,c8,Pawn,0,,43,43,43,43,16,16,16,16
4,yellow,Be13,0,0,0,0,Bf14-e13,f14,e13,Bishop,0,,43,43,43,43,16,16,16,16
4,green,h8,0,0,0,0,i8-h8,i8,h8,Pawn,0,,43,43,43,43,16,16,16,16
5,red,i4,0,0,0,0,i2-i4,i2,i4,Pawn,0,,43,43,43,43,16,16,16,16
5,blue,c5,0,0,0,0,b5-c5,b5,c5,Pawn,0,,43,43,43,43,16,16,16,16
5,yellow,Nh10,0,0,0,0,Ni12-h10,i12,h10,Knight,0,,43,43,43,43,16,16,16,16
5,green,Qj8,0,0,0,0,Qn8-j8,n8,j8,Queen,0,,43,43,43,43,16,16,16,16
6,red,Ni3,0,0,0,0,Nj1-i3,j1,i3,Knight,0,,43,43,43,43,16,16,16,16
6,blue,d4,0,0,0,0,b4-d4,b4,d4,Pawn,0,,43,43,43,43,16,16,16,16
6,yellow,i11,0,0,0,0,i13-i11,i13,i11,Pawn,0,,43,43,43,43,16,16,16,16
6,green,g8=Q,0,0,0,0,h8-g8=D,h8,g8,Queen,0,,43,43,43,51,16,16,16,16
