coordinate,value
b8,7
j5,7
c10,5
d4,5
i7,5
a5,5
k11,4
j14,4
d1,4
h8,4
m7,4
c6,3
j7,3
c7,3
k8,3
h4,3
b7,3
k9,3
d8,3
h6,2
e7,2
m8,2
e9,2
e3,2
n11,2
d6,2
h11,2
g4,2
l9,2
h10,2
n9,2
j9,2
a6,2
l5,2
k7,2
i11,2
a9,2
l11,2
i8,2
f4,2
a10,2
d11,2
n10,2
n8,2
d9,2
j10,1
j12,1
d7,1
e2,1
j11,1
l4,1
l6,1
i13,1
g8,1
d12,1
j3,1
g1,1
f12,1
b10,1
m5,1
i12,1
e6,1
i4,1
f3,1
a4,1
k6,1
e5,1
g9,1
b4,1
l8,1
m10,1
e14,1
b5,1
n6,1
j6,1
g13,1
a8,1
e13,1
h2,1
j1,1
h9,1
k1,1
f11,1
c4,1
n4,1
i9,1
j8,1
k5,1
g10,1
g3,1
e12,1
d3,1
k14,1
e4,1
c5,1
k4,1
n5,1
m11,1
l10,1
g6,1
a11,1
i1,1
i10,1
f5,1
j13,1
f6,1
i3,1
a7,1
c8,1
