round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces,checkmate_target
1,red,e3,0,0,0,0,e2-e3,e2,e3,Pawn,0,43,43,43,43,16,16,16,16,
1,blue,c8,0,0,0,0,b8-c8,b8,c8,Pawn,0,43,43,43,43,16,16,16,16,
1,yellow,g11,0,0,0,0,g13-g11,g13,g11,Pawn,0,43,43,43,43,16,16,16,16,
1,green,Nl6,0,0,0,0,Nn5-l6,n5,l6,Knight,0,43,43,43,43,16,16,16,16,
2,red,f4,0,0,0,0,f2-f4,f2,f4,Pawn,0,43,43,43,43,16,16,16,16,
2,blue,c9,0,0,0,0,b9-c9,b9,c9,Pawn,0,43,43,43,43,16,16,16,16,
2,yellow,Nf12,0,0,0,0,Ne14-f12,e14,f12,Knight,0,43,43,43,43,16,16,16,16,
2,green,Nl9,0,0,0,0,Nn10-l9,n10,l9,Knight,0,43,43,43,43,16,16,16,16,
3,red,g4,0,0,0,0,g2-g4,g2,g4,Pawn,0,43,43,43,43,16,16,16,16,
3,blue,c5,0,0,0,0,b5-c5,b5,c5,Pawn,0,43,43,43,43,16,16,16,16,
3,yellow,Bi11,0,0,0,0,Bf14-i11,f14,i11,Bishop,0,43,43,43,43,16,16,16,16,
3,green,k10,0,0,0,0,m10-k10,m10,k10,Pawn,0,43,43,43,43,16,16,16,16,
4,red,d3,0,0,0,0,d2-d3,d2,d3,Pawn,0,43,43,43,43,16,16,16,16,
4,blue,d4,0,0,0,0,b4-d4,b4,d4,Pawn,0,43,43,43,43,16,16,16,16,
4,yellow,h12,0,0,0,0,h13-h12,h13,h12,Pawn,0,43,43,43,43,16,16,16,16,
4,green,l11,0,0,0,0,m11-l11,m11,l11,Pawn,0,43,43,43,43,16,16,16,16,
5,red,e4,0,0,0,0,e3-e4,e3,e4,Pawn,0,43,43,43,43,16,16,16,16,
5,blue,Nb8,0,0,0,0,Na10-b8,a10,b8,Knight,0,43,43,43,43,16,16,16,16,
5,yellow,Bf11,0,0,0,0,Bi14-f11,i14,f11,Bishop,0,43,43,43,43,16,16,16,16,
5,green,k7,0,0,0,0,m7-k7,m7,k7,Pawn,0,43,43,43,43,16,16,16,16,
6,red,f5,0,0,0,0,f4-f5,f4,f5,Pawn,0,43,43,43,43,16,16,16,16,
6,blue,Bb5,0,0,0,0,Ba6-b5,a6,b5,Bishop,0,43,43,43,43,16,16,16,16,
6,yellow,Ni12,0,0,0,0,Nj14-i12,j14,i12,Knight,0,43,43,43,43,16,16,16,16,
